100, 450. 2200. 2600. 3840. 4860. 50. 70. 54. 17. 68. -18. -15. -9. -20. -10. ;
101, 501. 2186. 2581. 3786. 5204. 4. 20. 54. 16. 5. 3. -4. -9. -1. -15.;
102, 700. 1504. 2619. 4005. 4521. 5. 15. 14. 130. 13. 2. -2. -5. -23. -22.;
103, 260. 1770. 2130. 4060. 6070. 9. 18. 80. 42. 10. -10. 0. -9. -16. -25.;
104, 390. 1352. 2508. 3705. 4517. 6. 18. 58. 54. 40. 2. -6. -17. -20. -22.;
105, 620. 1490. 2640. 3910. 6070. 5. 9. 24. 39. 23. 0. -4. -17. -8. -16.;
106, 500. 1200. 2600. 3810. 5630. 10. 24. 24. 15. 29. 0. -22. -17. -16. -15. ;
107, 650. 1300. 2600. 3760. 4410. 5. 14. 24. 9. 28.  10. -7. -7. -1. -7. ;
108, 730. 1290. 2600. 3860. 4300. 7. 15. 24. 23. 72.  10. -7. -7. -5. -4. ;
109, 949. 1455. 2600. 3422. 4304. 10. 11. 24. 24. 34. 4. 2. -17. -5. -8.;
