100, 300. 1827. 2281. 3153. 4711. 4. 20. 20. 9. 14. -2. 0. -3. -5. -25.;
101, 430. 1470. 2400. 2990. 5000. 7. 6. 7. 30. 6. -1. -12. -5. 0. -27.;
102, 512. 1464. 2236. 3235. 5334. 9. 23. 28. 6. 6. -1. 0. -5. 0. -10.;
103, 250. 1750. 2160. 3060. 3900. 10. 10. 20. 30. 40. -9. -6. -11. -8. -8.;
104, 485. 1370. 2390. 3020. 4350. 17. 10. 15. 12. 8. -4. 0. -2. 0. -23.;
105, 540. 1320. 2140. 3120. 4250. 14. 12. 33. 9. 45. -1. 0. -9. -11. -42.;
106, 270. 730. 2270. 2820. 4320. 5. 5. 13. 5. 1. 0. 0. -1. -1. -26.;
107, 450. 920. 2450. 2920. 3970. 8. 13. 3. 24. 14. 0. 0. -8. -20. -28.;
108, 510. 1030. 2490. 3100. 3840. 5. 11. 9. 20. 45. 0. 0. -19. -27. -39.;
109, 540. 1070. 2570. 2970. 4350. 12. 13. 10. 9. 11. -1. -9. -10. -5. -25.;
