100, 430. 2400. 4060. 5600. 6110. 10. 25. 115. 109. 44. 0. -3. -34. -28. -43.;
101, 810. 2100. 3540. 4600. 5770. 21. 15. 54. 105. 26. 0. -2. -29. -26. -50.;
102, 890. 1900. 3600. 4910. 6800. 10. 10. 49. 40. 47. 3. -5. -9. -13. -25.;
103, 510. 2180. 3190. 4280. 5450. 19. 20. 23. 66. 14. -17. 0. -15. -21. -48.;
104, 760. 1760. 3400. 4570. 5670. 10. 20. 23. 65. 45. -1. 0. 6. -3. -35.;
105, 850. 1690. 3390. 4270. 6330. 12. 19. 32. 23. 45. 3. -9. -15. -10. -35.;
106, 361. 1300. 3088. 4350. 5530. 15. 7. 8. 21. 17. -17. 3. -24. -44. -40.;
107, 702. 1322. 3290. 3982. 5808. 9. 10. 82. 36. 22. 6. 1. -26. -19. -38.;
108, 723. 1360. 3380. 4152. 6496. 9. 7. 20. 22. 73. -3. 7. -12. -7. -37.;
109, 850. 1500. 3310. 4250. 6150. 10. 17. 14. 30. 24. 6. -3. -7. -12. -27.;
